variable,cat,target,achieved,diff_pp
gender,Female,51.207,51.207000004629236,4.629235661468556e-09
gender,Male,48.793,48.79299999537077,-4.629228556041198e-09
race,Asian,6.249,6.248999997418143,-2.5818565063673304e-09
race,Black,12.031,12.03099999946954,-5.30461008452221e-10
race,Hispanic,17.173,17.172999999086613,-9.133849232512148e-10
race,Other,2.489,2.4889999999340433,-6.595657353614115e-11
race,White,62.058,62.058000004091674,4.091674554729252e-09
educ,HS or Below,38.754,38.753999994931206,-5.068791608664469e-09
educ,Some college,26.439,26.439000000223828,2.2382806719178916e-10
educ,College,22.076,22.076000003172123,3.1721221205316397e-09
educ,Postgrad,12.731,12.731000001672854,1.672853855438916e-09
agegroup,<25,9.685,9.685000000944186,9.441851744895757e-10
agegroup,25-34,17.424,17.424000000509103,5.091038701721118e-10
agegroup,35-49,24.806,24.80599999959652,-4.034816925013729e-10
agegroup,50-64,24.475,24.47499999932,-6.800000562634523e-10
agegroup,65+,23.61,23.609999999630197,-3.6980196682634414e-10
