measure,measure_key,assumed,spec,coef,se,p,stars,mean,log_ratio,gap_shift,shift_lo,shift_hi,valid
Ad Trackers,ddg_join_ads,False,unblocked,2.8617875901773457,0.3073470964910902,1.2632913215018004e-20,***,4.977158707485879,0.664626038386754,,,,
Ad Trackers,ddg_join_ads,False,tier_A,0.1042472266729063,0.03782304151077556,0.00584802555032663,***,0.8716367302048611,0.12488967654765418,-0.5397363618390999,-0.6191836768258521,-0.4442537438273542,1.0
Ad Trackers,ddg_join_ads,False,tier_B,1.856252329708832,0.21086788525721517,1.333060631380719e-18,***,3.355908407672202,0.6371805016843123,-0.027445536702441764,-0.04960433875351365,0.003593933781813596,1.0
Ad Trackers,ddg_join_ads,False,tier_C,0.2616489308126584,0.06251269019957066,2.844976692639005e-05,***,1.155703794611567,0.24649755844176985,-0.4181284799449842,-0.4907619242553752,-0.3346020162315333,1.0
Third-Party Cookie Domains,third_party_cookies,False,unblocked,1.9372356122955132,0.23842165788234415,4.464407025526996e-16,***,3.2174667147068767,0.7079735242165229,,,,
Third-Party Cookie Domains,third_party_cookies,False,tier_A,0.0671941952354419,0.04194252159809917,0.10914361224072913,,0.6920801932796932,0.12377103648062528,-0.5842024877358977,-0.7078004254624072,-0.44203053387811464,1.0
Third-Party Cookie Domains,third_party_cookies,False,tier_B,1.2216795637397715,0.17091680912568827,8.817817176519831e-13,***,2.3184763982124976,0.6128920538896881,-0.09508147032683478,-0.12368007025684413,-0.06359697085497429,1.0
Third-Party Cookie Domains,third_party_cookies,False,tier_C,0.15698527229119816,0.061395943406513366,0.010559975968621987,**,0.9594388376623054,0.17828938177149423,-0.5296841424450287,-0.62587618243249,-0.41704108060309025,1.0
Canvas Fingerprinting,canvas_fingerprinting,False,unblocked,0.033224400398314494,0.00883482736001095,0.00016949489479624,***,0.061581997655354395,0.6058981348065736,,,,
Canvas Fingerprinting,canvas_fingerprinting,False,tier_A,0.03495397053402915,0.008557757319879589,4.417603288227492e-05,***,0.054551658469424086,0.7216050020610809,0.1157068672545073,0.016438873549840798,0.2680974872979717,1.0
Canvas Fingerprinting,canvas_fingerprinting,False,tier_B,0.03437592640118153,0.008688326132639406,7.603523108489891e-05,***,0.0598865546458935,0.6539480324935992,0.04804989768702561,-0.0023959064819942554,0.13303070525381633,1.0
Canvas Fingerprinting,canvas_fingerprinting,False,tier_C,0.03363283194079527,0.008657174286717351,0.0001023440066728152,***,0.05742231571657157,0.6632686359734208,0.057370501166847165,-0.009113000824416332,0.1530513442162884,1.0
Session Recording,session_recording,False,unblocked,0.01461692672979508,0.005814818975170735,0.011945941687464727,**,0.03486028737126732,0.5354058254565223,,,,
Session Recording,session_recording,False,tier_A,0.005127702516735106,0.0011372548360834038,6.5182388365185396e-06,***,0.005449484322695356,1.3610218674146435,0.8256160419581212,0.14416046217321216,1.603677419955719,1.0
Session Recording,session_recording,False,tier_B,0.0048822531821125816,0.0010847235983792271,6.766025031403967e-06,***,0.003989752053456687,1.612892901073949,1.0774870756174266,0.32090594971838876,1.9394986425240766,1.0
Session Recording,session_recording,False,tier_C,0.0048822531821125816,0.0010847235983792271,6.766025031403967e-06,***,0.003989752053456687,1.612892901073949,1.0774870756174266,0.32090594971838876,1.9394986425240766,1.0
Keylogging,key_logging,False,unblocked,0.03650822261430194,0.008079423689356402,6.223027328545889e-06,***,0.04131348709630815,1.0999556784986915,,,,
Keylogging,key_logging,False,tier_A,0.0021686051473395547,0.0057203830637451835,0.7046125771836297,,0.011316515576495706,0.214827999975266,-0.8851276785234254,-1.3526772567452652,-0.1326185034384727,1.0
Keylogging,key_logging,False,tier_B,-0.0022674613698204205,0.006117022677991005,0.7108754739856854,,0.01219815121624968,-0.11602125158543665,-1.215976930084128,-1.4604727147704826,-0.9188176995824744,1.0
Keylogging,key_logging,False,tier_C,-0.0025383670809652967,0.0061159342971809135,0.6781114590318473,,0.012053154250823664,-0.13294403449775669,-1.232899712996448,-1.4789635768705789,-0.9284203353206613,1.0
Facebook Pixel,fb_pixel,True,unblocked,0.011600776767234939,0.012155199025609216,0.33988724993130437,,0.08267017249118942,0.13537116536045912,,,,
Facebook Pixel,fb_pixel,True,tier_A,0.0,0.0,,,0.0,,,,,0.0
Facebook Pixel,fb_pixel,True,tier_B,0.011600776767234939,0.012155199025609216,0.33988724993130437,,0.08267017249118942,0.13537116536045912,0.0,0.0,0.0,1.0
Facebook Pixel,fb_pixel,True,tier_C,0.011600776767234939,0.012155199025609216,0.33988724993130437,,0.08267017249118942,0.13537116536045912,0.0,0.0,0.0,1.0
Google Analytics (Remarketing),google_analytics,True,unblocked,-0.006688428550784074,0.004502413059929756,0.13740590002044042,,0.009708466900557412,-0.7476604831737823,,,,
Google Analytics (Remarketing),google_analytics,True,tier_A,-0.006688428550784074,0.004502413059929756,0.13740590002044042,,0.009708466900557412,-0.7476604831737823,0.0,0.0,0.0,1.0
Google Analytics (Remarketing),google_analytics,True,tier_B,-0.006688428550784074,0.004502413059929756,0.13740590002044042,,0.009708466900557412,-0.7476604831737823,0.0,0.0,0.0,1.0
Google Analytics (Remarketing),google_analytics,True,tier_C,0.0,0.0,,,0.0,,,,,0.0
