Unnamed: 0,caseid,tt_visits,tt_domains,bl_ddg_join_ads,bl_third_party_cookies,bl_canvas_fingerprinting,bl_session_recording,bl_key_logging,bl_fb_pixel,bl_google_analytics,who_adult_advertising,who_advertising,who_audio_video_player,who_consent_management,who_customer_interaction,who_data_saved,who_hosting,who_misc,who_site_analytics,who_social_media,who_trackers_per_page_load,who_trackers_requests_all_requests,who_tracking_requests_per_page_load,who_utilities,birthyr,gender,race,educ,pid3,pid7,presvote20post,inputstate,region,gender_lab,race_lab,educ_lab,agegroup_lab,bl_ddg_join_ads_rate,bl_ddg_join_ads_al1,bl_ddg_join_ads_al3,bl_ddg_join_ads_al5,bl_ddg_join_ads_al10,bl_third_party_cookies_rate,bl_third_party_cookies_al1,bl_third_party_cookies_al3,bl_third_party_cookies_al5,bl_third_party_cookies_al10,bl_canvas_fingerprinting_rate,bl_canvas_fingerprinting_al1,bl_canvas_fingerprinting_al3,bl_canvas_fingerprinting_al5,bl_canvas_fingerprinting_al10,bl_session_recording_rate,bl_session_recording_al1,bl_session_recording_al3,bl_session_recording_al5,bl_session_recording_al10,bl_key_logging_rate,bl_key_logging_al1,bl_key_logging_al3,bl_key_logging_al5,bl_key_logging_al10,bl_fb_pixel_rate,bl_fb_pixel_al1,bl_fb_pixel_al3,bl_fb_pixel_al5,bl_fb_pixel_al10,bl_google_analytics_rate,bl_google_analytics_al1,bl_google_analytics_al3,bl_google_analytics_al5,bl_google_analytics_al10,who_trackers_per_page_load_rate,who_trackers_per_page_load_al1,who_trackers_per_page_load_al3,who_trackers_per_page_load_al5,who_trackers_per_page_load_al10,who_tracking_requests_per_page_load_rate,who_tracking_requests_per_page_load_al1,who_tracking_requests_per_page_load_al3,who_tracking_requests_per_page_load_al5,who_tracking_requests_per_page_load_al10,who_trackers_requests_all_requests_rate,who_trackers_requests_all_requests_al1,who_trackers_requests_all_requests_al3,who_trackers_requests_all_requests_al5,who_trackers_requests_all_requests_al10,who_data_saved_rate,who_data_saved_al1,who_data_saved_al3,who_data_saved_al5,who_data_saved_al10,who_advertising_rate,who_advertising_al1,who_advertising_al3,who_advertising_al5,who_advertising_al10,who_audio_video_player_rate,who_audio_video_player_al1,who_audio_video_player_al3,who_audio_video_player_al5,who_audio_video_player_al10,who_customer_interaction_rate,who_customer_interaction_al1,who_customer_interaction_al3,who_customer_interaction_al5,who_customer_interaction_al10,who_hosting_rate,who_hosting_al1,who_hosting_al3,who_hosting_al5,who_hosting_al10,who_consent_management_rate,who_consent_management_al1,who_consent_management_al3,who_consent_management_al5,who_consent_management_al10,who_site_analytics_rate,who_site_analytics_al1,who_site_analytics_al3,who_site_analytics_al5,who_site_analytics_al10,who_misc_rate,who_misc_al1,who_misc_al3,who_misc_al5,who_misc_al10,who_utilities_rate,who_utilities_al1,who_utilities_al3,who_utilities_al5,who_utilities_al10,who_social_media_rate,who_social_media_al1,who_social_media_al3,who_social_media_al5,who_social_media_al10,who_adult_advertising_rate,who_adult_advertising_al1,who_adult_advertising_al3,who_adult_advertising_al5,who_adult_advertising_al10,n_orgs,top_org_share,top_org_visits,top_org_share_duration,gini_exposure,captured_visits,who_visits,who_coverage
0,47541,17194,553,161861.0,172095.0,1451.0,1173.0,3909.0,2715.0,50.0,0.0,213560.0,11359.0,3216.0,16254.0,55455.31,75118.0,17844.0,43904.0,16419.0,62103.68,101685.62,95196.59,9853.0,1955,2,1,2,2,6,2,12,3,Female,White,HS or Below,65+,9.413807142026288,True,True,True,True,10.00901477259509,True,True,True,True,0.0843899034546935,True,True,True,True,0.0682214726067232,True,True,True,True,0.2273467488658834,True,True,True,True,0.1579039199720832,True,True,True,True,0.0029079911597068,True,True,True,True,5.07839398151934,True,True,True,True,7.784495052743479,True,True,True,True,8.315121432660069,True,True,True,True,4.534737918063619,True,True,True,True,17.463406656308774,True,True,True,True,0.9288576334941533,True,True,True,True,1.3291356611333716,True,True,True,True,6.14261182435195,True,True,True,True,0.26298143756644043,True,True,True,True,3.5901545506582715,True,True,True,True,1.4591544688854363,True,True,True,True,0.8057077438874806,True,True,True,True,1.3426281789189631,True,True,True,True,0.0,False,False,False,False,495,0.6075222009402751,10467.0,0.7145445291847711,0.8549564186853706,0.7943583492947937,12229,0.7112364778411073
1,56565,11479,334,97694.0,103287.0,222.0,185.0,1625.0,585.0,36.0,0.0,137218.0,8382.0,2435.0,6814.0,42170.22,49408.0,11746.0,24816.0,10572.0,44027.76,53020.08,56047.07,3397.0,1940,2,1,3,3,5,2,17,2,Female,White,Some college,65+,8.510671661294538,True,True,True,True,8.997909225542294,True,True,True,True,0.0193396637337747,True,True,True,True,0.0161163864448122,True,True,True,True,0.1415628539071347,True,True,True,True,0.0509626274065685,True,True,True,True,0.003136161686558,True,True,True,True,5.550650529500757,True,True,True,True,7.065944276348966,True,True,True,True,6.684326777609683,True,True,True,True,5.316467473524963,True,True,True,True,17.299293998991427,True,True,True,True,1.0567322239031771,True,True,True,True,0.8590519415027735,True,True,True,True,6.228946041351487,True,True,True,True,0.30698436712052446,True,True,True,True,3.128593040847201,True,True,True,True,1.4808371154815936,True,True,True,True,0.42826525466464954,True,True,True,True,1.3328290468986383,True,True,True,True,0.0,False,False,False,False,371,0.5954058992430175,6843.0,0.6711406180122239,0.8150882091110877,0.7651614025928827,7932,0.6910009582716264
2,203271,6540,152,11317.0,22787.0,137.0,786.0,10.0,24.0,2.0,0.0,18808.0,2614.0,130.0,2320.0,47961.31,23955.0,9812.0,4640.0,2382.0,11919.72,20579.55,14833.83,946.0,1980,2,1,6,1,2,-1,54,3,Female,White,Postgrad,35-49,1.7304281345565748,True,True,True,True,3.484250764525994,True,True,True,True,0.0209480122324159,True,True,True,True,0.1201834862385321,True,True,True,True,0.0015290519877675,True,True,True,True,0.0036697247706422,True,True,True,True,0.0003058103975535,True,False,False,False,2.680395772430852,True,True,True,True,3.3356937261074884,True,True,True,True,4.62773780076456,True,True,True,True,10.785093321340229,True,True,True,True,4.229368113334832,True,True,True,True,0.5878120080953452,True,True,True,True,0.5217000224870699,True,True,True,True,5.386777602878345,True,True,True,True,0.029233190915223747,True,True,True,True,1.0434000449741399,True,True,True,True,2.206431302001349,True,True,True,True,0.21272768158308972,True,True,True,True,0.5356420058466382,True,True,True,True,0.0,False,False,False,False,151,0.3623188405797101,2375.0,0.3383488020948821,0.8328710779041908,0.7298245614035088,4447,0.6799694189602447
3,216457,1770,49,19793.0,5050.0,22.0,10.0,2.0,10.0,28.0,0.0,30640.0,1180.0,120.0,1489.0,3502.56,6751.0,1204.0,5692.0,1243.0,8770.35,13329.55,26357.050000000003,226.0,1976,2,1,2,2,7,2,27,2,Female,White,HS or Below,35-49,11.182485875706217,True,True,True,True,2.853107344632768,True,True,True,True,0.0124293785310734,True,True,True,True,0.0056497175141242,True,True,True,True,0.0011299435028248,True,False,False,False,0.0056497175141242,True,True,True,True,0.015819209039548,True,True,True,True,6.746423076923077,True,True,True,True,20.27465384615385,True,True,True,True,10.253499999999999,True,True,True,True,2.6942769230769232,True,True,True,True,23.56923076923077,True,True,True,True,0.9076923076923077,True,True,True,True,1.1453846153846154,True,True,True,True,5.193076923076923,True,True,True,True,0.09230769230769231,True,True,True,True,4.378461538461538,True,True,True,True,0.9261538461538461,True,True,True,True,0.17384615384615384,True,True,True,True,0.9561538461538461,True,True,True,True,0.0,False,False,False,False,110,0.7656691134952005,1356.0,0.8749064532842094,0.676575455266443,0.8085827216261999,1300,0.7344632768361582
4,257495,10012,284,73761.0,77189.0,1516.0,445.0,2036.0,1221.0,18.0,0.0,131407.0,6504.0,4164.0,9856.0,28534.64,44383.0,9164.0,28161.0,8168.0,42553.97,67794.69,63233.1,9064.0,1952,2,7,1,1,1,1,15,4,Female,Other,HS or Below,65+,7.367259288853376,True,True,True,True,7.709648421893728,True,True,True,True,0.1514182980423492,True,True,True,True,0.0444466640031961,True,True,True,True,0.2033559728326008,True,True,True,True,0.121953655613264,True,True,True,True,0.0017978425888933,True,True,True,True,5.775511672095549,True,True,True,True,8.582125407166124,True,True,True,True,9.20123371335505,True,True,True,True,3.8727795874049944,True,True,True,True,17.834826275787186,True,True,True,True,0.8827361563517915,True,True,True,True,1.3376764386536373,True,True,True,True,6.023751357220412,True,True,True,True,0.5651465798045603,True,True,True,True,3.8220684039087947,True,True,True,True,1.243756786102063,True,True,True,True,1.230184581976113,True,True,True,True,1.1085776330076005,True,True,True,True,0.0,False,False,False,False,288,0.5976977274982633,6023.0,0.6596282402351067,0.815266657085763,0.7074526148655353,7368,0.7359168997203356
5,283951,807,20,2255.0,2504.0,18.0,0.0,0.0,6.0,0.0,0.0,4011.0,430.0,14.0,193.0,8079.88,4205.0,1174.0,645.0,440.0,2312.43,2275.46,2437.6,112.0,1959,2,2,5,4,4,1,48,3,Female,Black,College,50-64,2.7942998760842626,True,True,True,True,3.1028500619578687,True,True,True,True,0.0223048327137546,True,True,True,True,0.0,False,False,False,False,0.0,False,False,False,False,0.0074349442379182,True,True,True,False,0.0,False,False,False,False,2.999260700389105,True,True,True,True,3.1616083009079117,True,True,True,True,2.9513099870298314,True,True,True,True,10.479740596627757,True,True,True,True,5.202334630350195,True,True,True,True,0.5577172503242542,True,True,True,True,0.2503242542153048,True,True,True,True,5.453955901426719,True,True,True,True,0.018158236057068743,True,True,True,True,0.8365758754863813,True,True,True,True,1.5226977950713358,True,True,True,True,0.14526588845654995,True,True,True,True,0.5706874189364461,True,True,True,True,0.0,False,False,False,False,69,0.4752475247524752,384.0,0.6877676042421448,0.542616510714311,0.9529702970297028,771,0.9553903345724907
6,294487,14772,360,73779.0,64748.0,1095.0,220.0,366.0,460.0,51.0,0.0,152334.0,11282.0,3516.0,5207.0,38241.4,64111.0,10677.0,32198.0,13199.0,67621.24,65541.94,57824.64,6874.0,1947,2,1,5,1,1,1,37,3,Female,White,College,65+,4.994516653127539,True,True,True,True,4.383157324668291,True,True,True,True,0.0741267262388302,True,True,True,True,0.0148930408881668,True,True,True,True,0.0247766043866774,True,True,True,True,0.0311399945843487,True,True,True,True,0.0034524776604386,True,True,True,True,6.511433798748195,True,True,True,True,5.568092441020703,True,True,True,True,6.311212325469428,True,True,True,True,3.682368801155513,True,True,True,True,14.66865671641791,True,True,True,True,1.0863745787193066,True,True,True,True,0.5013962445835339,True,True,True,True,6.1734232065479056,True,True,True,True,0.3385652383245065,True,True,True,True,3.100433317284545,True,True,True,True,1.0281174771304766,True,True,True,True,0.661916225324988,True,True,True,True,1.270967741935484,True,True,True,True,0.0,False,False,False,False,350,0.6146124185613615,9245.0,0.8355008669200669,0.7825057896214552,0.6652040952001064,10385,0.7030192255618738
7,296069,6673,262,45654.0,41864.0,74.0,115.0,541.0,388.0,90.0,1793.0,40554.0,3900.0,534.0,2166.0,19782.75,21052.0,1669.0,9628.0,2479.0,19286.62,25635.28,14592.35,2368.0,1951,1,1,2,2,6,2,39,2,Male,White,HS or Below,65+,6.841600479544433,True,True,True,True,6.273640041960138,True,True,True,True,0.0110894650082421,True,True,True,True,0.0172336280533493,True,True,True,True,0.081072980668365,True,True,True,True,0.0581447624756481,True,True,True,True,0.0134871871721864,True,True,True,True,4.721326805385557,True,True,True,True,3.5721787025703797,True,True,True,True,6.275466340269277,True,True,True,True,4.842778457772337,True,True,True,True,9.927539779681762,True,True,True,True,0.9547123623011016,True,True,True,True,0.5302325581395348,True,True,True,True,5.153488372093023,True,True,True,True,0.13072215422276623,True,True,True,True,2.3569155446756427,True,True,True,True,0.40856793145654835,True,True,True,True,0.5796817625458996,True,True,True,True,0.6068543451652387,True,True,True,True,0.43892288861689105,True,True,True,True,374,0.6567250615317793,4536.0,0.6352042302435527,0.7515559256480634,0.8423338641957434,4085,0.6121684399820171
8,345485,4249,194,37699.0,15746.0,195.0,203.0,53.0,312.0,12.0,0.0,64457.0,2438.0,813.0,4369.0,15443.71,15904.0,3608.0,13102.0,2510.0,19904.88,28521.59,48996.55,2578.0,1935,1,1,2,2,7,2,42,1,Male,White,HS or Below,65+,8.872440574252765,True,True,True,True,3.705813132501765,True,True,True,True,0.0458931513297246,True,True,True,True,0.0477759472817133,True,True,True,True,0.0124735231819251,True,True,True,True,0.0734290421275594,True,True,True,True,0.002824193927983,True,True,True,True,6.650477781490144,True,True,True,True,16.370380888740396,True,True,True,True,9.529432008018711,True,True,True,True,5.15994320080187,True,True,True,True,21.535917139993316,True,True,True,True,0.8145673237554293,True,True,True,True,1.459739391914467,True,True,True,True,5.313732041430003,True,True,True,True,0.2716338122285332,True,True,True,True,4.377547611092549,True,True,True,True,1.2054794520547945,True,True,True,True,0.861343133979285,True,True,True,True,0.838623454727698,True,True,True,True,0.0,False,False,False,False,218,0.4882036907264658,2090.0,0.6984067846463062,0.7912393509830292,0.7414155571128241,2993,0.7044010355377736
9,359503,4390,261,21972.0,31417.0,137.0,185.0,97.0,484.0,11.0,366.0,26912.0,1638.0,805.0,2272.0,9259.05,11671.0,988.0,7472.0,2599.0,13252.23,12836.05,7743.95,2203.0,1962,1,1,3,2,7,2,17,2,Male,White,Some college,50-64,5.00501138952164,True,True,True,True,7.156492027334852,True,True,True,True,0.0312072892938496,True,True,True,True,0.0421412300683371,True,True,True,True,0.0220956719817767,True,True,True,True,0.110250569476082,True,True,True,True,0.00250569476082,True,True,True,True,6.938340314136125,True,True,True,True,4.054424083769633,True,True,True,True,6.72044502617801,True,True,True,True,4.8476701570680625,True,True,True,True,14.090052356020943,True,True,True,True,0.8575916230366493,True,True,True,True,1.1895287958115184,True,True,True,True,6.110471204188482,True,True,True,True,0.4214659685863874,True,True,True,True,3.912041884816754,True,True,True,True,0.5172774869109947,True,True,True,True,1.1534031413612564,True,True,True,True,1.3607329842931937,True,True,True,True,0.19162303664921465,True,True,True,True,312,0.4553009883198562,2027.0,0.5207172568667647,0.6618883490340136,0.5233602875112309,1910,0.43507972665148065
