private_domain,failure_reason,reach,visits,in_visits_stratum,in_uniform_stratum,is_ddg_tracker,ddg_categories,ddg_owner,ha22_measured,wb_2022_capture,wb_snapshot_ts,wb_html_cached
decipherinc.com,site_unreachable,301,84099,True,False,False,,,True,False,,False
microsoftonline.com,site_unreachable,348,34600,True,False,True,,Microsoft Corporation,True,False,,False
yougov.com,empty_groups,544,32935,True,False,False,,,True,False,,False
sentry.io,empty_groups,175,24969,True,False,True,,"Functional Software, Inc.",True,False,,False
pch.com,empty_groups,68,24231,True,False,False,,,True,False,,False
fbcdnx14.net,empty_groups,1,16771,True,False,False,,,False,False,,False
surveyjunkie.com,empty_groups,96,11471,True,False,False,,,True,False,,False
eggbuddies.com,empty_groups,1,9152,True,False,False,,,False,False,,False
fandom.com,empty_groups,173,7840,True,False,True,,"Fandom, Inc.",True,False,,False
google.com.mx,api_network_error,1,7820,True,False,False,,,False,False,,False
authoritytrcker.com,empty_groups,66,7504,True,False,False,,,False,False,,False
impactcdn.com,empty_groups,65,7459,True,False,True,,Impact,False,False,,False
trysera.com,empty_groups,27,6068,True,False,True,,,False,True,20220705130658.0,True
gunmemorial.org,empty_groups,1,5200,True,False,False,,,False,False,,False
minutemedia-prebid.com,empty_groups,55,4707,True,False,True,,,False,False,,False
nypost.com,empty_groups,120,4380,True,False,False,,,True,False,,False
quizzclub.com,api_network_error,3,4275,True,False,False,,,True,False,,False
aaxads.com,empty_groups,13,4110,True,False,True,,Acceptable Ads Exchange,False,False,,False
opinionationzone.com,empty_groups,64,3910,True,False,False,,,False,False,,False
dynoflow.net,empty_groups,60,3464,True,False,False,,,True,False,,False
everyonesez.com,empty_groups,22,3248,True,False,False,,,False,False,,False
sawtoothsoftware.com,empty_groups,76,3205,True,False,False,,,True,False,,False
eu-1-id5-sync.com,site_unreachable,150,3014,True,False,True,,,False,False,,False
musio.co,empty_groups,3,2910,True,False,False,,,True,False,,False
realtor.com,empty_groups,95,2825,True,False,True,,Move Inc.,True,False,,False
get663.com,empty_groups,6,2705,True,False,False,,,False,False,,False
wayfair.com,empty_groups,106,2446,True,False,False,,,True,False,,False
ps-di.com,empty_groups,90,2429,True,False,False,,,False,False,,False
insights-today.com,site_unreachable,109,2388,True,False,False,,,False,False,,False
enginesurveys.com,empty_groups,33,2326,True,False,False,,,False,False,,False
protonmail.com,empty_groups,5,2311,True,False,False,,,True,False,,False
chess.com,api_network_error,13,2165,True,False,False,,,True,False,,False
ttvnw.net,empty_groups,22,2073,True,False,True,,"Amazon Technologies, Inc.",False,False,,False
pushnetwork.com,empty_groups,19,1984,True,False,False,,,False,False,,False
roku.com,empty_groups,54,1846,True,False,False,,,True,False,,False
neet.tv,empty_groups,1,1827,True,False,False,,,False,False,,False
ibanking-services.com,empty_groups,15,1743,True,False,False,,,False,False,,False
cdnwidget.com,site_unreachable,76,1696,True,False,True,Obscure Ownership;Unknown High Risk Behavior,CDNWIDGET.COM,False,False,,False
wmcdp.io,empty_groups,29,1569,True,False,True,,"Warner Bros. Discovery, Inc.",False,False,,False
pineconeresearch.com,empty_groups,80,1519,True,False,False,,,True,False,,False
discoveryplus.com,empty_groups,58,1471,True,False,False,,,True,False,,False
instiengage.com,site_unreachable,41,1375,True,False,True,,,False,False,,False
gap.com,empty_groups,50,1174,True,False,False,,,True,True,20220615130338.0,True
bathandbodyworks.com,empty_groups,33,1158,True,False,False,,,True,False,,False
ibotta.com,empty_groups,53,1143,True,False,False,,,True,False,,False
b4k.co,empty_groups,1,1111,True,False,False,,,False,False,,False
prmutv.co,empty_groups,119,979,True,False,True,,"Permutive, Inc.",False,False,,False
mygiftcardsplus.com,empty_groups,38,955,True,False,False,,,True,False,,False
tophatter.com,empty_groups,5,899,True,False,False,,,True,False,,False
samsung.com,empty_groups,103,868,True,False,True,,Samsung Electronics Co. Ltd,True,False,,False
ozone.ai,empty_groups,2,847,True,False,False,,,True,False,,False
ghostery.net,api_network_error,1,822,True,False,True,,,False,False,,False
wgntv.com,empty_groups,6,784,True,False,False,,,True,False,,False
ipinfo.io,empty_groups,22,766,True,False,True,,"IDB, LLC",True,False,,False
toyhou.se,empty_groups,4,748,True,False,False,,,True,False,,False
theepochtimes.com,empty_groups,22,667,True,False,False,,,True,False,,False
hentairead.com,empty_groups,1,539,True,False,False,,,False,False,,False
apartments.com,empty_groups,40,530,True,False,False,,,True,False,,False
dealer.com,empty_groups,19,486,True,False,True,,Dealer Dot Com Inc,True,False,,False
connectebt.com,empty_groups,10,457,True,False,False,,,True,False,,False
odycdn.com,empty_groups,3,450,True,False,False,,,False,False,,False
diply.com,empty_groups,5,444,True,False,False,,,True,False,,False
slingoarcade.com,empty_groups,2,439,True,False,False,,,True,False,,False
