private_domain,failure_reason,reach,visits,in_visits_stratum,in_uniform_stratum,is_ddg_tracker,ddg_categories,ddg_owner,ha22_measured,wb_2022_capture,wb_snapshot_ts,wb_html_cached,dns_resolves,probe_status,http_status,final_url,page_title,probe_error,bl_scan_success,bl_final_url,bl_ddg_join_ads,bl_third_party_cookies,bl_canvas_fingerprinting,bl_session_recording,bl_key_logging,bl_fb_pixel,bl_google_analytics,wb_title,category,rationale,spotcheck,user_category
decipherinc.com,site_unreachable,301,84099,True,False,False,,,True,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,,content_site,"Decipher (Forsta/FocusVision) hosted-survey platform; panelists take surveys on its pages; HA-measured 2022, dead to probe today",False,
microsoftonline.com,site_unreachable,348,34600,True,False,True,,Microsoft Corporation,True,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,,cdn_api_host,"Microsoft login/SSO endpoint (login.microsoftonline.com); no user-facing homepage by design; DDG-listed, owner Microsoft",False,
yougov.com,empty_groups,544,32935,True,False,False,,,True,False,,False,True,live,200.0,https://yougov.com/,YouGov: Data Analytics & Market Research Services,,True,https://yougov.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,content_site,"YouGov's own survey site (the panel vendor); live, substantive title",False,
sentry.io,empty_groups,175,24969,True,False,True,,"Functional Software, Inc.",True,False,,False,True,live,200.0,https://sentry.io/welcome/,Application Performance Monitoring & Error Tracking Software | Sentry,,True,https://sentry.io/welcome/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,cdn_api_host,"Sentry error-reporting ingest API (Functional Software); appears in logs via SDK calls, not deliberate visits; DDG-listed",True,
pch.com,empty_groups,68,24231,True,False,False,,,True,False,,False,True,live,200.0,https://www.pch.com/,Publishers Clearing House: Online Sweepstakes & Prizes Since 1967,,True,https://pch.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,content_site,"Publishers Clearing House sweepstakes site; live, recognizable brand",False,
fbcdnx14.net,empty_groups,1,16771,True,False,False,,,False,False,,False,True,redirect,200.0,https://www.squidapp.co/,Home - SQUID News App,,True,https://www.squidapp.co/,4.0,2.0,0.0,0.0,0.0,0.0,0.0,,cdn_api_host,"Fake-CDN-style numbered hostname now redirecting to SQUID news app; in-app content-delivery host, not a destination site",True,
surveyjunkie.com,empty_groups,96,11471,True,False,False,,,True,False,,False,True,live,200.0,https://www.surveyjunkie.com/,,,True,https://www.surveyjunkie.com/,11.0,19.0,1.0,0.0,0.0,0.0,1.0,,content_site,"Survey Junkie paid-survey site; live, recognizable brand",False,
eggbuddies.com,empty_groups,1,9152,True,False,False,,,False,False,,False,True,live,200.0,https://eggbuddies.com/,Egg Buddies,,True,https://eggbuddies.com/,3.0,2.0,0.0,0.0,0.0,0.0,0.0,,content_site,Live site titled Egg Buddies; user-facing,False,
fandom.com,empty_groups,173,7840,True,False,True,,"Fandom, Inc.",True,False,,False,True,http_error,403.0,https://www.fandom.com/,Just a moment...,,True,https://www.fandom.com/,34.0,21.0,0.0,0.0,0.0,0.0,1.0,,content_site,Fandom wiki network; 403 bot wall today (Just a moment...) - alive and user-facing,False,
google.com.mx,api_network_error,1,7820,True,False,False,,,False,False,,False,True,redirect,200.0,https://www.google.com/,Google,,True,https://www.google.com/,3.0,7.0,0.0,0.0,0.0,0.0,0.0,,content_site,Google Mexico country homepage; redirects to google.com,False,
authoritytrcker.com,empty_groups,66,7504,True,False,False,,,False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,,adtech_infrastructure,"Unambiguous click-tracking name morphology (trcker); 7.5k visits yet dead, never HA-measured - redirect-hop pattern",False,
impactcdn.com,empty_groups,65,7459,True,False,True,,Impact,False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,,adtech_infrastructure,"Impact affiliate/partnership-marketing tracking CDN; DDG-listed, owner Impact",False,
trysera.com,empty_groups,27,6068,True,False,True,,,False,True,20220705130658.0,True,True,live,200.0,https://trysera.com/,TrySERA: Site Email Retargeting Advantage,,True,https://trysera.com/,4.0,0.0,0.0,0.0,0.0,0.0,0.0,TrySERA: Site Email Retargeting Advantage,adtech_infrastructure,Site Email Retargeting Advantage per live and WB-2022 titles; retargeting vendor; DDG-listed,False,
gunmemorial.org,empty_groups,1,5200,True,False,False,,,False,False,,False,True,live,200.0,https://gunmemorial.org/,National Gun Violence Memorial,,True,https://gunmemorial.org/,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,content_site,"National Gun Violence Memorial; live, substantive title",False,
minutemedia-prebid.com,empty_groups,55,4707,True,False,True,,,False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,,adtech_infrastructure,Minute Media prebid (header-bidding) endpoint; unambiguous name; DDG-listed,False,
nypost.com,empty_groups,120,4380,True,False,False,,,True,False,,False,True,live,200.0,https://nypost.com/,"New York Post – Breaking News, Top Headlines, Photos & Videos",,False,,,,,,,,,,content_site,"New York Post; live, recognizable brand",False,
quizzclub.com,api_network_error,3,4275,True,False,False,,,True,False,,False,True,live,200.0,https://quizzclub.com/,"Fun Trivia Questions, Quizzes and Personality Tests | QuizzClub",,True,https://quizzclub.com/,44.0,12.0,0.0,0.0,0.0,1.0,1.0,,content_site,"Trivia/quiz site; live, substantive title",False,
aaxads.com,empty_groups,13,4110,True,False,True,,Acceptable Ads Exchange,False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,,adtech_infrastructure,"Acceptable Ads Exchange (DDG owner); ad-serving domain, dead today",True,
opinionationzone.com,empty_groups,64,3910,True,False,False,,,False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,,dead,"Dead today; no WB capture, not HA-measured, no DDG listing; name uninformative",False,
