private_domain,dns_resolves,probe_status,http_status,final_url,page_title,probe_error,bl_scan_success,bl_final_url,bl_ddg_join_ads,bl_third_party_cookies,bl_canvas_fingerprinting,bl_session_recording,bl_key_logging,bl_fb_pixel,bl_google_analytics
aaxads.com,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,
academy.com,True,live,200.0,https://www.academy.com/,"Academy Sports + Outdoors | Quality Sporting Goods | Top Hunting, Fishing & Outdoor Gear",,True,https://www.academy.com/,9.0,2.0,0.0,1.0,0.0,1.0,0.0
adoptapet.com,True,live,200.0,https://www.adoptapet.com/,"Adopt a Pet: Search Dogs, Cats & Pets for Adoption Near You",,True,https://www.adoptapet.com/,8.0,3.0,0.0,0.0,0.0,0.0,1.0
allthingsstone.com,True,live,200.0,https://www.allthingsstone.com/,CSI - All Things Stone | Your Home for All Things Stone & More!,,True,https://www.allthingsstone.com/,5.0,7.0,0.0,0.0,0.0,0.0,0.0
angelsdateone.ru,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,
antitpd.com,True,http_error,404.0,https://antitpd.com/,,,True,https://antitpd.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apartments.com,True,http_error,403.0,https://apartments.com/,Access Denied,,True,https://www.apartments.com/,0.0,0.0,1.0,0.0,0.0,0.0,0.0
authoritytrcker.com,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,
b4k.co,True,live,200.0,https://b4k.co/,b4k.co,,True,https://b4k.co/,1.0,0.0,0.0,0.0,0.0,0.0,1.0
bathandbodyworks.com,True,live,307.0,https://bathandbodyworks.com/,Access to this page has been denied,,True,https://www.bathandbodyworks.com/,11.0,10.0,0.0,0.0,0.0,0.0,0.0
billybeezus.co,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,
blidz.com,True,live,200.0,https://blidz.com/,Blidz,,True,https://blidz.com/,4.0,0.0,0.0,0.0,0.0,1.0,1.0
booksrelease.com,True,dead,,,,http: ReadTimeout,False,,,,,,,,
box.net,True,redirect,200.0,https://www.box.com/,,,True,https://www.box.com/,18.0,3.0,0.0,0.0,0.0,1.0,0.0
camscape.com,True,live,200.0,https://www.camscape.com/,Live Webcams on Camscape – Free Streaming Cams Worldwide,,True,https://www.camscape.com/,20.0,17.0,0.0,0.0,0.0,0.0,1.0
cartermario.com,True,live,200.0,https://www.cartermario.com/,CT Car Accident & Injury Lawyers | 30+ Years Experience,,True,https://www.cartermario.com/,4.0,1.0,0.0,0.0,0.0,1.0,1.0
cdnwidget.com,True,dead,,,,http: ConnectionError,True,https://cdnwidget.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chess.com,True,live,200.0,https://www.chess.com/,Chess.com - Play Chess Online - Free Games,,True,https://www.chess.com/,0.0,1.0,0.0,0.0,0.0,0.0,0.0
chipotle.com,True,live,200.0,https://www.chipotle.com/,Mexican Food - Restaurant & Catering - Chipotle Mexican Grill,,True,https://www.chipotle.com/,10.0,10.0,0.0,1.0,0.0,0.0,0.0
clearvoicesurveysmail.com,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,
codementor.io,True,live,200.0,https://www.codementor.io/,"Codementor | Get live 1:1 coding help, hire a developer, & more",,True,https://www.codementor.io/,1.0,0.0,1.0,0.0,0.0,0.0,0.0
connectebt.com,True,live,200.0,https://www.ConnectEBT.com/,,,True,https://www.connectebt.com/,0.0,0.0,1.0,0.0,0.0,0.0,0.0
contactscart.com,True,live,200.0,https://www.contactscart.com/,ContactsCart | Your Favorite Contact Lenses at Amazingly Low Prices,,True,https://www.contactscart.com/,9.0,8.0,1.0,1.0,0.0,1.0,1.0
